	name	explicit	artists	album_name	key	mode	time_signature	genre	duration_ms	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
13267	Que Se Abram os Céus - Ao Vivo	False	Nívea Soares	Reino de Justiça (Ao Vivo)	9	1.0	4.0	brazil	0.1099026644918368	0.625	0.4799309451877427	0.6439928086547348	0.8102398134560879	0.0122219775379872	0.0369477911646586	0.0	0.683428338762215	0.2100502512562814	0.514313654358764
13268	Heffalumps and Woozles	False	Billboard Baby Lullabies	Lullaby Renditions of Winnie the Pooh	0	0.0	4.0	disney	0.0213556027321665	0.1931818181818181	0.1853690116529996	0.2569849910968201	0.5949705509879993	0.023673199735741	0.9959839357429718	0.901	0.1561482084690554	0.2964824120603015	0.9976814245832084
13269	Benihana Season	False	Breakfast For Brunch	Benihana Season	1	1.0	4.0	study	0.0235046540415289	0.0681818181818181	0.7129909365558912	0.3829875363482342	0.6430337507789414	0.0358951772737282	0.1907630522088353	0.844	0.0920195439739413	0.5768844221105527	0.3134913750046003
13270	Burn The Ships (R3HAB Remix)	False	for KING & COUNTRY;R3HAB	Burn The Ships (R3HAB Remix)	5	1.0	4.0	indian	0.0304414374369666	0.5454545454545454	0.6299093655589124	0.7589951317016603	0.8399903511769554	0.0639726932393745	0.0244979919678714	0.0	0.0890675895765472	0.3055276381909547	0.3560038485197394
13271	Draco	True	TeeJay	Draco	7	0.0	4.0	j-dance	0.0283628908192157	0.2840909090909091	0.9223133362106172	0.6759934550677924	0.8749070295696223	0.1499669676282757	0.4076305220883534	1.51e-06	0.0882532573289902	0.4964824120603015	0.3450418763110991
13272	Siisx	False	alva noto;Ryuichi Sakamoto	Revep	10	0.0	1.0	idm	0.1033774430851487	0.0909090909090909	0.4356927060854554	0.2039839204751936	0.4786017247271192	0.0221316890552741	0.9397590361445785	0.942	0.0991449511400651	0.0674371859296482	0.3690846096013206
13273	Far From Any Road	False	Comaduster	FiXT Presents: Sinister Sounds	2	1.0	4.0	idm	0.0617330785080719	0.0	0.5295640914976263	0.4899896977918954	0.7267372906908959	0.0183880202598546	0.0125502008032128	0.541	0.0991449511400651	0.1728643216080402	0.3006419457106354
13274	Maxwell	False	The Infamous Stringdusters	Laws Of Gravity	9	1.0	4.0	bluegrass	0.0693629547369638	0.2159090909090909	0.4896417781614156	0.6289925056486141	0.8015558727159426	0.0036335608896718	0.713855421686747	0.0221	0.1938110749185668	0.4391959798994975	0.3746628602072522
13275	Aliceband	False	Stumbleine	Ghosting	7	1.0	4.0	idm	0.0416587582684438	0.1590909090909091	0.4583513163573586	0.42098830396374	0.6802219229300259	0.0142039198414446	0.0008935742971887	0.761	0.1215390879478827	0.0735678391959799	0.5898697707186532
13276	Obatalá	False	Abayomy Afrobeat Orquestra	Abayomy	5	0.0	4.0	afrobeat	0.0954033380678006	0.2159090909090909	0.56517047906776	0.7729954145073731	0.8240496914386797	0.0327020480070469	0.0711847389558232	0.00663	0.0604641693811074	0.4713567839195979	0.3301157184692144
13277	Prefazio comune	False	Traditional;Cappella Musicale di Santa Maria in Campitelli di Roma;Vincenzo Di Betta	Giovannini: Messa a Quattro Breve Concertata	3	1.0	4.0	sleep	0.0236056538419689	0.0	0.3062149331031507	0.0706812277608007	0.3898325527167467	0.0409601409381193	0.9769076305220884	0.0	0.1612377850162866	0.0730653266331658	0.4085056492274044
13278	愛 請問怎麼走	False	A-Lin	Love Song (出道十周年情歌精選)	5	1.0	4.0	mandopop	0.0598497005868234	0.2727272727272727	0.5209322399654727	0.4489888695751654	0.7622369188091743	0.0121118696322395	0.7078313253012047	0.0	0.0930374592833876	0.2211055276381909	0.5235564107821643
